hotel_name,scraped_info
Holiday Inn London Wembley,"[4.0, 'https://www.hotels.com/ho198205/holiday-inn-london-wembley-wembley-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181734564&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=4253&destination=Wembley%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=553248634739918835&selected=21930&sort=RECOMMENDED&userIntent=&expediaPropertyId=21930']"
Hilton London Kensington Hotel,"[4.0, 'https://www.hotels.com/ho163527/hilton-london-kensington-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181801742&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6054501&selected=26612&sort=RECOMMENDED&top_dp=134&top_cur=EUR&userIntent=&selectedRoomType=94614&selectedRatePlan=388616084&expediaPropertyId=26612']"
Hotel Esther a,"[4.0, 'https://www.hotels.com/ho119714/radisson-blu-hotel-amsterdam-city-center-amsterdam-netherlands/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181873994&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=553248621532511161&destination=Singel%2C+Amsterdam%2C+North+Holland%2C+Netherlands&destType=MARKET&neighborhoodId=6200211&trackingData=AAAAEGuUSsZYXdY1M_O8uhUXh6yGI1RlXlPwdXvAKpZK3eTX1cH8FMb-wFHPaNDoT__W0pyiuscxeot2YNOCHehkzvBJoThTfOHX3oXNGpuopOX__bpv-W3iSoL3Xuc33d_p14RFQX-rVhzt4XMGRYz6zYdXOWpmL6Z-xyJ5JWtPC2Ys_h-AEZah8GKtMDvpbqbEZ2vfz3WDPUxVUjb-3sZScNuK8euMjV55rF242XjjMPMA2ka93dUJAQFIuhJuCr7jhzzDbKevHTMdk7fhSgYLzlbz8eFPwkgDSrYeuEpy6iSYvVMdACPqaJpGGhxR1mDUSur20GZLHZ_LOPkgWUucGUopriCyqlV3ui-L71W9yxGUCU7QWS1GZ8cphnPqWIIcTGrXBW75KOfHt9fAPttPKJvHBSuw1U5Iwg0o-bdZDGrL3rcGSyqZ2X-vf4MTwboHeE2m7JqRK4QJnFDo1HKfogXaKA7uovB2D-MtSbVPGx8TuB7xOrnHk06nplVdhQZrnzwlSkV5NQpMzwU6mfrfqF9aLyuj9hx3wORnrvG7XA_PkzYq5_cmLWww_PBjrx9tu2X-3kgR-5jCONJTF5snAz5H8eYoEo13UACvlAPTK8UsPGsRg07EcFfJ-H5SRr4iuCff2IRMbMF3h14q6_fbZCDaG36ESwuj3WcxgskwqQwWzJlguV6MncMcjD9np2BckPIv9sA_BUbiuiVAMTjgiWQ5mcDz1NpKG6L3izGO31dvvA_z8UFHgVd9IYoSeBsXwONe7fh19p6DH6o0Kr23wVnhEBnVXQZQhZ0ukotePwEt4P0ShFqLUbhHQnf3uSiVxmK5j0kzgDt8CuCHjz1fUDODJ9INxhB15XfvJmwciTwq0aOJsvJ6wd2SO5y_WoBNHZS9ARPxP0noGoie6qCLZc_vu3VAt0DaACIsv-nhqL0Z556q61edrwup1bD5pCisCumzD9srV_7yx8gpwKljRkDCCK6-gL7kgppcjvAtWpAvI90xN9WPuPMyRNcqc4ux0A%3D%3D&rank=1&testVersionOverride=Buttercup%2C45803.0.0%2C44204.0.0%2C44203.0.0%2C43549.129874.3%2C43550.0.0%2C31936.102311.0%2C33775.98848.1%2C38414.114301.0%2C39483.0.0%2C38427.115718.1%2C42444.0.0%2C42589.0.0%2C42876.124673.0%2C42973.0.0%2C42974.0.0%2C42975.0.0%2C42976.0.0%2C42802.125960.1%2C33739.99567.0%2C37898.109354.1%2C37930.0.0%2C37949.0.0%2C37354.0.0%2C43435.128144.0&slots=&position=1&beaconIssued=2023-01-08T12%3A44%3A32&sort=RECOMMENDED&top_dp=224&top_cur=EUR&userIntent=&selectedRoomType=211213834&selectedRatePlan=228278645&expediaPropertyId=14193']"
The Tower A Guoman Hotel,"[4.0, 'https://www.hotels.com/ho224174/the-tower-hotel-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673181950632&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=2479&sort=RECOMMENDED&userIntent=&expediaPropertyId=2479']"
Best Western Premier Hotel Couture,"[nan, nan]"
The Cumberland A Guoman Hotel,"[4.5, 'https://www.hotels.com/ho114408/great-cumberland-place-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182030712&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=21659&sort=RECOMMENDED&userIntent=&expediaPropertyId=21659']"
The Park Grand London Paddington,"[4.0, 'https://www.hotels.com/ho335214/the-park-grand-london-paddington-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182101564&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=3087913&sort=RECOMMENDED&top_dp=177&top_cur=EUR&userIntent=&selectedRoomType=437999&selectedRatePlan=1539332&expediaPropertyId=3087913']"
Ramada Apollo Amsterdam Centre,"[4.0, 'https://www.hotels.com/ho381096/leonardo-hotel-amsterdam-rembrandtpark-amsterdam-netherlands/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182172843&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=378&destination=Amsterdam%2C+North+Holland%2C+Netherlands&destType=CURRENT_LOCATION&neighborhoodId=6157565&selected=4342180&sort=RECOMMENDED&top_dp=99&top_cur=EUR&userIntent=&selectedRoomType=212710993&selectedRatePlan=238183636&expediaPropertyId=4342180']"
Golden Tulip Amsterdam West,"[nan, 'https://www.hotels.com/ho420912/xo-hotels-park-west-amsterdam-netherlands/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182245870&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=378&destination=Amsterdam%2C+North+Holland%2C+Netherlands&destType=CURRENT_LOCATION&neighborhoodId=6150395&selected=5411779&sort=RECOMMENDED&top_dp=72&top_cur=EUR&userIntent=&selectedRoomType=320824730&selectedRatePlan=387298899&expediaPropertyId=5411779']"
citizenM Tower of London,"[4.0, 'https://www.hotels.com/ho579364/citizenm-tower-of-london-london-united-kingdom/?chkin=2023-01-22&chkout=2023-01-23&x_pwa=1&rfrr=HSR&pwa_ts=1673182301033&referrerUrl=aHR0cHM6Ly93d3cuaG90ZWxzLmNvbS9Ib3RlbC1TZWFyY2g%3D&useRewards=false&rm1=a2&regionId=2114&destination=London%2C+England%2C+United+Kingdom&destType=CURRENT_LOCATION&neighborhoodId=6195474&selected=14736047&sort=RECOMMENDED&top_dp=152&top_cur=EUR&userIntent=&selectedRoomType=201471701&selectedRatePlan=207349820&expediaPropertyId=14736047']"
